id;name_of_clinic;city;postal_code;street
1;edge;Beerchester;Concrete;Corrine Viaduct
2;paradigm lime;Lindstad;Buckinghamshire;Hallie Dam
3;Integration;South Janelle;up;Alfredo Mountain
4;Loaf;Mozelleborough;Corporate withdrawal;Hilton Well
5;Ball synergies;Sherwoodstad;bifurcated Factors;Joshua Island
6;technologies;East Carterfort;Moldovan Towels HDD;Conn Pike
7;Frozen data-warehouse;West Mariloustad;Ball;Lehner Mall
8;Taka metrics;Aaliyahmouth;clear-thinking heuristic;DuBuque Drive
9;Rubber Steel;Concepcionshire;Auto;Damien Expressway
10;hardware;Elianfurt;function Paradigm Frozen;Callie Curve
